latitude,longitude,floorSize,price,url
38.97759,-94.603874,1392,247500,https://www.zillow.com/homedetails/8315-Ward-Parkway-Pl-Kansas-City-MO-64114/2429185_zpid/
39.00862,-94.570076,1000,139000,https://www.zillow.com/homedetails/1400-E-66th-St-Kansas-City-MO-64131/2412609_zpid/
39.042824,-94.60316,3510,995000,https://www.zillow.com/homedetails/1414-W-47th-St-Kansas-City-MO-64112/172983366_zpid/
39.02824,-94.56406,1673,179950,https://www.zillow.com/homedetails/5407-Woodland-Ave-Kansas-City-MO-64130/2348710_zpid/
39.28455,-94.65444,3344,675000,https://www.zillow.com/homedetails/6608-NW-105th-St-Kansas-City-MO-64154/331800136_zpid/
39.02251,-94.60487,5685,1795000,https://www.zillow.com/homedetails/1232-W-58th-St-Kansas-City-MO-64113/2353071_zpid/
39.065712,-94.549324,2426,223750,https://www.zillow.com/homedetails/3309-S-Benton-Ave-Kansas-City-MO-64128/2333550_zpid/
39.08745,-94.58119,896,185500,https://www.zillow.com/homedetails/2107-Grand-Ave-UNIT-1107-Kansas-City-MO-64108/66864660_zpid/
39.08915,-94.54681,1344,210000,https://www.zillow.com/homedetails/3008-E-19th-Ter-Kansas-City-MO-64127/63220135_zpid/
39.055264,-94.593025,1152,240000,https://www.zillow.com/homedetails/3991-Pennsylvania-Ave-Kansas-City-MO-64111/61500996_zpid/
39.22241,-94.66367,960,164500,https://www.zillow.com/homedetails/7008-NW-Chapel-Woods-Ln-Kansas-City-MO-64152/2503711_zpid/
39.011887,-94.59264,750,125000,https://www.zillow.com/homedetails/333-W-Meyer-Blvd-APT-611-Kansas-City-MO-64113/58618433_zpid/
39.07854,-94.569305,2946,949900,https://www.zillow.com/homedetails/2623-Forest-Ave-Kansas-City-MO-64108/109855553_zpid/
39.279144,-94.52357,2300,489900,https://www.zillow.com/homedetails/5005-NE-103rd-Ct-Kansas-City-MO-64156/340017923_zpid/
39.28559,-94.55455,3597,600000,https://www.zillow.com/homedetails/10601-N-Euclid-Ave-Kansas-City-MO-64155/71165881_zpid/
38.895245,-94.573074,2126,429900,https://www.zillow.com/homedetails/12707-Highland-Ave-Kansas-City-MO-64145/109837110_zpid/
38.928795,-94.51911,2344,345000,https://www.zillow.com/homedetails/10801-Wheeling-Ave-Kansas-City-MO-64134/2464978_zpid/
39.078335,-94.56869,3609,725000,https://www.zillow.com/homedetails/2626-Tracy-Ave-Kansas-City-MO-64108/2335905_zpid/
38.997494,-94.565346,1845,255000,https://www.zillow.com/homedetails/7130-Paseo-Blvd-Kansas-City-MO-64132/2421738_zpid/
39.030636,-94.53794,624,59900,https://www.zillow.com/homedetails/5220-Norton-Ave-Kansas-City-MO-64130/2360849_zpid/
39.287495,-94.59645,2600,579000,https://www.zillow.com/homedetails/10715-N-Fairmount-Ave-Kansas-City-MO-64155/2053614148_zpid/
39.069386,-94.55715,2271,215000,https://www.zillow.com/homedetails/3113-Brooklyn-Ave-Kansas-City-MO-64109/2337350_zpid/
39.04567,-94.59369,1050,419000,https://www.zillow.com/homedetails/4510-Pennsylvania-Ave-Kansas-City-MO-64111/2344272_zpid/
39.05634,-94.5975,2245,420000,https://www.zillow.com/homedetails/840-W-39th-Ter-Kansas-City-MO-64111/2343855_zpid/
39.01992,-94.55647,1672,52000,https://www.zillow.com/homedetails/5833-Wabash-Ave-Kansas-City-MO-64130/2350975_zpid/
39.07801,-94.574646,1404,365000,https://www.zillow.com/homedetails/820-E-27th-St-Kansas-City-MO-64108/251025623_zpid/
39.003304,-94.54932,875,100000,https://www.zillow.com/homedetails/6741-Walrond-Ave-Kansas-City-MO-64132/2409786_zpid/
39.280094,-94.53682,4010,1199900,https://www.zillow.com/homedetails/10205-N-Bales-Ave-Kansas-City-MO-64123/2058890639_zpid/
39.015,-94.438515,2581,215000,https://www.zillow.com/homedetails/12100-E-59th-St-Kansas-City-MO-64133/2375315_zpid/
39.10712,-94.51407,1382,215000,https://www.zillow.com/homedetails/5802-Thompson-Ave-Kansas-City-MO-64123/2282991_zpid/
39.11351,-94.54083,5777,629000,https://www.zillow.com/homedetails/3422-Saint-John-Ave-Kansas-City-MO-64123/2286199_zpid/
39.021378,-94.53961,1560,140000,https://www.zillow.com/homedetails/5726-Myrtle-Ave-Kansas-City-MO-64130/2361907_zpid/
39.056755,-94.59304,1452,469000,https://www.zillow.com/homedetails/4512-Pennsylvania-Ave-Kansas-City-MO-64111/2344271_zpid/
39.054207,-94.56673,1736,229900,https://www.zillow.com/homedetails/3946-Flora-Ave-Kansas-City-MO-64110/2340188_zpid/
